symbol,date,trade_date,base_score,base_rank,base_pct,recent_score,recent_rank,recent_pct,risk_flags,event_flags,short_boost,gate_tier,gate_reason,final_rank,arm_rank,arm_score,ret_fwd_3d,ret_fwd_3d_cs,ret_fwd_5d,ret_fwd_5d_cs
688396,2026-06-10,2026-06-10,0.005160811293732516,88,0.71,-0.007812749625675252,277,0.08,,,-0.63,UNCLASSIFIED,falls between configured gate tiers,94,94,-94.0,0.13834681897509116,0.11109754120671067,0.16753926701570676,0.14455452588143355
002202,2026-06-10,2026-06-10,0.005128166050407826,89,0.7066666666666667,0.001888004771652121,53,0.8266666666666667,,,0.12,UNCLASSIFIED,falls between configured gate tiers,95,95,-95.0,0.030288689067676344,0.0030394112992958543,0.06436346426881201,0.0413787231345388
601238,2026-06-10,2026-06-10,0.005113727664322807,90,0.7033333333333334,-0.003836387052627337,202,0.33,,,-0.37333333333333335,UNCLASSIFIED,falls between configured gate tiers,96,96,-96.0,0.02086956521739136,-0.0063797125509891285,-0.03826086956521735,-0.061245610699490555
000768,2026-06-10,2026-06-10,0.005090101311548735,91,0.7,-0.0003176378550037746,93,0.6933333333333334,,,-0.006666666666666599,UNCLASSIFIED,falls between configured gate tiers,97,97,-97.0,0.01684311838306063,-0.010406159385319861,-0.009143407122232938,-0.032128148256506145
002714,2026-06-10,2026-06-10,0.005087640257688144,92,0.6966666666666667,-0.002229880152122274,162,0.4633333333333333,,,-0.23333333333333334,UNCLASSIFIED,falls between configured gate tiers,98,98,-98.0,0.026053864168618324,-0.0011954135997621664,-0.01551522248243542,-0.03849996361670863
000988,2026-06-10,2026-06-10,0.005001184093784187,93,0.6933333333333334,-0.005483468488231834,236,0.21666666666666667,,,-0.4766666666666667,UNCLASSIFIED,falls between configured gate tiers,99,99,-99.0,0.09151414309484185,0.06426486532646136,0.18169717138103159,0.15871243024675838
600515,2026-06-10,2026-06-10,0.004988592667767149,94,0.69,-0.0008859390609412442,119,0.6066666666666667,,,-0.08333333333333326,UNCLASSIFIED,falls between configured gate tiers,100,100,-100.0,0.027397260273972712,0.00014798250559222223,-0.023972602739726012,-0.04695734387399922
300866,2026-06-10,2026-06-10,0.004957236362068802,95,0.6866666666666666,-0.000547066816079224,103,0.66,,,-0.026666666666666616,UNCLASSIFIED,falls between configured gate tiers,101,101,-101.0,0.016162157335476435,-0.011087120432904055,0.04571836771140281,0.022733626577129604
000596,2026-06-10,2026-06-10,0.004943770499778941,96,0.6833333333333333,-0.006514057932364863,258,0.14333333333333334,,,-0.54,UNCLASSIFIED,falls between configured gate tiers,102,102,-102.0,-0.0248938855110703,-0.05214316327945079,-0.06263622806011249,-0.0856209691943857
600584,2026-06-10,2026-06-10,0.004871219177542392,97,0.68,-0.013457808770059863,297,0.013333333333333334,,,-0.6666666666666667,UNCLASSIFIED,falls between configured gate tiers,103,103,-103.0,0.06921473245309251,0.04196545468471202,0.15399583043780396,0.13101108930353075
600188,2026-06-10,2026-06-10,0.004853608294542145,98,0.6766666666666666,0.0020056338750865594,49,0.84,,,0.16333333333333333,UNCLASSIFIED,falls between configured gate tiers,104,104,-104.0,-0.09870129870129873,-0.12595057646967922,-0.1610389610389611,-0.1840237021732343
000002,2026-06-10,2026-06-10,0.004814112163211255,99,0.6733333333333333,-0.0016550711770480003,148,0.51,,,-0.16333333333333333,UNCLASSIFIED,falls between configured gate tiers,105,105,-105.0,-0.01602564102564108,-0.043274918794021566,-0.019230769230769273,-0.04221551036504248
688981,2026-06-10,2026-06-10,0.004694952955563188,102,0.6633333333333333,-0.0042617796282792995,210,0.30333333333333334,,,-0.36,UNCLASSIFIED,falls between configured gate tiers,106,106,-106.0,0.021507064364207018,-0.005742213404173472,0.10439560439560425,0.08141086326133104
601136,2026-06-10,2026-06-10,0.00469110519593807,103,0.66,-0.007226723644721214,269,0.10666666666666667,,,-0.5533333333333333,UNCLASSIFIED,falls between configured gate tiers,107,107,-107.0,0.07000736919675754,0.042758091428377054,0.030213706705969123,0.00722896557169592
601698,2026-06-10,2026-06-10,0.004663375991684104,104,0.6566666666666666,-0.005220051959555615,230,0.23666666666666666,,,-0.41999999999999993,UNCLASSIFIED,falls between configured gate tiers,108,108,-108.0,0.0071987480438184814,-0.02005052972456201,-0.033176838810641596,-0.0561615799449148
603369,2026-06-10,2026-06-10,0.004405770989359072,106,0.65,-0.006347756681268861,256,0.15,,,-0.5,UNCLASSIFIED,falls between configured gate tiers,109,109,-109.0,0.011899876897825123,-0.015349400870555367,-0.005334427574887224,-0.028319168709160427
000999,2026-06-10,2026-06-10,0.004331514381267501,107,0.6466666666666666,-0.009528495757050727,285,0.05333333333333334,,,-0.5933333333333333,UNCLASSIFIED,falls between configured gate tiers,110,110,-110.0,-0.018218623481781382,-0.04546790125016187,-0.04939271255060729,-0.0723774536848805
000858,2026-06-10,2026-06-10,0.00422601787473289,108,0.6433333333333333,0.0013687433732068421,62,0.7966666666666666,,,0.15333333333333332,UNCLASSIFIED,falls between configured gate tiers,111,111,-111.0,-0.018298032334879144,-0.04554731010325963,-0.049379621506454585,-0.07236436264072779
601669,2026-06-10,2026-06-10,0.004221626403412743,109,0.64,-0.002541855093501292,170,0.43666666666666665,,,-0.20333333333333337,UNCLASSIFIED,falls between configured gate tiers,112,112,-112.0,0.01684210526315799,-0.010407172505222499,0.040000000000000036,0.017015258865726832
002648,2026-06-10,2026-06-10,0.00411711501196335,111,0.6333333333333333,-0.000908990961740239,121,0.6,,,-0.033333333333333326,UNCLASSIFIED,falls between configured gate tiers,113,113,-113.0,-0.03165654813529928,-0.058905825903679765,-0.06114483954900263,-0.08412958068327583
002028,2026-06-10,2026-06-10,0.004072275220906338,113,0.6266666666666667,-0.0001443422799522476,87,0.7133333333333334,,,0.08666666666666667,UNCLASSIFIED,falls between configured gate tiers,114,114,-114.0,0.014418604651162736,-0.012830673117217754,0.10581395348837197,0.08282921235409876
601998,2026-06-10,2026-06-10,0.003990870858723147,114,0.6233333333333333,-0.002945696813178168,180,0.4033333333333333,,,-0.21999999999999997,UNCLASSIFIED,falls between configured gate tiers,115,115,-115.0,-0.01308900523560208,-0.04033828300398257,-0.048429319371727786,-0.07141406050600099
601916,2026-06-10,2026-06-10,0.003986999020813536,115,0.62,0.0017865829053972083,55,0.82,,,0.19999999999999996,UNCLASSIFIED,falls between configured gate tiers,116,116,-116.0,-0.006493506493506551,-0.03374278426188704,-0.029220779220779147,-0.052205520355052354
600760,2026-06-10,2026-06-10,0.003964470462512427,116,0.6166666666666667,-0.00456698803209789,215,0.2866666666666667,,,-0.33,UNCLASSIFIED,falls between configured gate tiers,117,117,-117.0,0.02066314271984626,-0.006586135048534229,-0.008409418548774528,-0.031394159683047734
600436,2026-06-10,2026-06-10,0.003912866281391923,117,0.6133333333333333,-0.0046079999689787945,217,0.28,,,-0.33333333333333326,UNCLASSIFIED,falls between configured gate tiers,118,118,-118.0,-0.01884241656104768,-0.04609169432942817,-0.04613434727503163,-0.06911908840930484
601607,2026-06-10,2026-06-10,0.0037909270227036145,118,0.61,-0.005532233358814947,237,0.21333333333333335,,,-0.3966666666666666,UNCLASSIFIED,falls between configured gate tiers,119,119,-119.0,-0.005541871921182273,-0.03279114968956276,-0.020320197044334853,-0.04330493817860806
601117,2026-06-10,2026-06-10,0.0036334628038037966,119,0.6066666666666667,-0.00106293733221924,126,0.5833333333333334,,,-0.023333333333333317,UNCLASSIFIED,falls between configured gate tiers,120,120,-120.0,0.017711171662125436,-0.009538106106255054,0.10081743869209814,0.07783269755782493
600362,2026-06-10,2026-06-10,0.0034940325387816155,121,0.6,-0.004803710789219733,220,0.27,,,-0.32999999999999996,UNCLASSIFIED,falls between configured gate tiers,121,121,-121.0,0.1584454409566518,0.13119616318827132,0.3281016442451421,0.3051169031108689
000977,2026-06-10,2026-06-10,0.0034341979863724394,123,0.5933333333333334,0.006696517407469566,16,0.95,,,0.3566666666666666,UNCLASSIFIED,falls between configured gate tiers,122,122,-122.0,0.07710926694329179,0.0498599891749113,0.13520055325034575,0.11221581211607254
600989,2026-06-10,2026-06-10,0.0033622970623747367,125,0.5866666666666667,0.0001406228658623135,81,0.7333333333333333,,,0.1466666666666666,UNCLASSIFIED,falls between configured gate tiers,123,123,-123.0,-0.0409407665505227,-0.06819004431890319,-0.06315331010452963,-0.08613805123880283
600036,2026-06-10,2026-06-10,0.003085468457297863,128,0.5766666666666667,0.0018265641075307462,54,0.8233333333333334,,,0.2466666666666667,UNCLASSIFIED,falls between configured gate tiers,124,124,-124.0,-0.004131164471985471,-0.03138044224036596,-0.03795507358636718,-0.06093981472064039
600011,2026-06-10,2026-06-10,0.0029879948243378366,131,0.5666666666666667,0.0002459647742541564,76,0.75,,,0.18333333333333335,UNCLASSIFIED,falls between configured gate tiers,125,125,-125.0,-0.03549571603427171,-0.0627449938026522,-0.06487148102815177,-0.08785622216242497
601818,2026-06-10,2026-06-10,0.002898898350282915,137,0.5466666666666666,-0.0006651020377696468,110,0.6366666666666667,,,0.09000000000000008,UNCLASSIFIED,falls between configured gate tiers,126,126,-126.0,0.006309148264984188,-0.020940129503396302,-0.028391167192428957,-0.05137590832670216
601800,2026-06-10,2026-06-10,0.0028149432631168463,140,0.5366666666666666,0.00019821251515131648,77,0.7466666666666667,,,0.21000000000000008,UNCLASSIFIED,falls between configured gate tiers,127,127,-127.0,-0.017515923566879033,-0.04476520133525952,-0.027070063694267454,-0.05005480482854066
601901,2026-06-10,2026-06-10,0.002726646185308847,143,0.5266666666666666,-0.0006257051170925773,106,0.65,,,0.1233333333333334,UNCLASSIFIED,falls between configured gate tiers,128,128,-128.0,0.06009244992295826,0.03284317215457777,0.026194144838212585,0.003209403703939382
601127,2026-06-10,2026-06-10,0.00256064424871521,146,0.5166666666666667,-0.0001527673985397314,88,0.71,,,0.19333333333333325,UNCLASSIFIED,falls between configured gate tiers,129,129,-129.0,0.015802687933835546,-0.011446589834544944,-0.04282971496086241,-0.06581445609513562
601166,2026-06-10,2026-06-10,0.002413264088959856,150,0.5033333333333333,0.001922327550586415,51,0.8333333333333334,,,0.33000000000000007,UNCLASSIFIED,falls between configured gate tiers,130,130,-130.0,-0.012028430836522608,-0.039277708604903094,-0.05303444505194088,-0.07601918618621409
600016,2026-06-10,2026-06-10,0.002339437009419957,153,0.49333333333333335,-0.00041964858929586786,97,0.68,,,0.1866666666666667,UNCLASSIFIED,falls between configured gate tiers,131,131,-131.0,0.0056022408963585235,-0.021647036872021966,-0.025210084033613356,-0.04819482516788656
