arm,symbol,date,trade_date,base_score,base_rank,base_pct,recent_score,recent_rank,recent_pct,risk_flags,event_flags,short_boost,gate_tier,gate_reason,final_rank,fusion_score_col,fusion_rank,arm_rank,arm_score,ret_fwd_3d,ret_fwd_3d_cs,ret_fwd_5d,ret_fwd_5d_cs
baseline,301308,2026-06-02,2026-06-02,0.008842056518309906,31,0.9,0.0029618083761423367,50,0.8366666666666667,,,-0.06333333333333335,A_MAIN,"base strong, recent confirms",28,0.02007992007992008,31,31,0.02007992007992008,-0.08910630786276308,-0.04749726084173162,-0.04790520365814721,-0.01356860737238795
baseline,300433,2026-06-02,2026-06-02,0.006018720620784666,41,0.8666666666666667,0.0037082227492004896,42,0.8633333333333333,,,-0.0033333333333334103,A_MAIN,"base strong, recent confirms",33,0.019704911667637354,32,32,0.019704911667637354,-0.03942329353457985,0.0021857534864516068,-0.0513629195764812,-0.017026323290721943
baseline,688981,2026-06-02,2026-06-02,0.009181211479903553,28,0.91,0.00198977034184837,61,0.8,,,-0.10999999999999999,A_MAIN,"base strong, recent confirms",26,0.01962809917355372,33,33,0.01962809917355372,-0.0901492537313433,-0.048540206710311846,-0.06462686567164178,-0.030290269385882515
baseline,600875,2026-06-02,2026-06-02,0.0033234467341831404,84,0.7233333333333334,0.006067959889199867,20,0.9366666666666666,,,0.21333333333333326,B_SHORT_BOOST,recent model strongly boosts an acceptable base name,41,0.019444444444444445,34,34,0.019444444444444445,-0.07123615683926954,-0.02962710981823808,-0.09847351092487266,-0.0641369146391134
baseline,688072,2026-06-02,2026-06-02,0.009332792359981669,27,0.9133333333333333,0.0011032119619909034,72,0.7633333333333333,,,-0.15000000000000002,A_MAIN,"base strong, recent confirms",25,0.019070010449320794,35,35,0.019070010449320794,-0.07589895311788797,-0.03428990609685651,0.00461668509005797,0.03895328137581723
baseline,600346,2026-06-02,2026-06-02,0.007095655434853114,37,0.88,0.0024940438014062326,55,0.82,,,-0.06000000000000005,A_MAIN,"base strong, recent confirms",30,0.019004930524428507,36,36,0.019004930524428507,-0.05197030268418046,-0.010361255663149,-0.06453455168475175,-0.03019795539899249
baseline,300442,2026-06-02,2026-06-02,0.004069653119219618,65,0.7866666666666666,0.004750001361297392,33,0.8933333333333333,,,0.10666666666666669,B_SHORT_BOOST,recent model strongly boosts an acceptable base name,45,0.018752688172043012,37,37,0.018752688172043012,-0.08922207201671384,-0.04761302499568238,-0.05493425095243942,-0.020597654666680162
baseline,002837,2026-06-02,2026-06-02,0.007285267683012532,36,0.8833333333333333,0.0020772306909105295,60,0.8033333333333333,,,-0.07999999999999996,A_MAIN,"base strong, recent confirms",29,0.01875,38,38,0.01875,-0.07230679156908648,-0.030697744548055024,0.008489461358313966,0.042826057644073226
baseline,001280,2026-06-02,2026-06-02,0.002337904777687537,110,0.6366666666666667,0.006896719547307086,18,0.9433333333333334,,,0.30666666666666664,B_SHORT_BOOST,recent model strongly boosts an acceptable base name,40,0.01870286576168929,39,39,0.01870286576168929,-0.08785072187414877,-0.046241674853117316,-0.07627349496050129,-0.041936898674742026
baseline,000858,2026-06-02,2026-06-02,0.004861622141143124,57,0.8133333333333334,0.0038567007893921352,41,0.8666666666666667,,,0.053333333333333344,A_MAIN,"base strong, recent confirms",37,0.018447998646018447,40,40,0.018447998646018447,-0.02902246508803885,0.012586581932992606,-0.03897996357012745,-0.004643367284368191
