arm,symbol,date,trade_date,base_score,base_rank,base_pct,recent_score,recent_rank,recent_pct,risk_flags,event_flags,short_boost,gate_tier,gate_reason,final_rank,fusion_score_col,fusion_rank,arm_rank,arm_score,ret_fwd_3d,ret_fwd_3d_cs,ret_fwd_5d,ret_fwd_5d_cs
turnover_aware,000338,2026-06-29,2026-06-29,0.018374322838310943,10,0.9697986577181208,-0.0011917069100234956,89,0.7046979865771812,,,-0.2651006711409396,A_MAIN,"base strong, recent confirms",9,0.02099712368168744,28,28,0.02099712368168744,0.03266055045871563,0.02599795351601322,,
turnover_aware,688223,2026-06-29,2026-06-29,0.014796111553065858,20,0.9362416107382551,0.00046989446090727036,66,0.7818791946308725,,,-0.15436241610738255,A_MAIN,"base strong, recent confirms",18,0.020436507936507937,29,29,0.020436507936507937,-0.03157894736842115,-0.03824154431112357,,
turnover_aware,600999,2026-06-29,2026-06-29,0.006744441177759652,68,0.7751677852348994,0.012745801351115728,20,0.9362416107382551,,,0.1610738255033557,B_SHORT_BOOST,recent model strongly boosts an acceptable base name,49,0.0203125,30,30,0.0203125,0.034123222748815074,0.02746062580611266,,
turnover_aware,300308,2026-06-29,2026-06-29,0.00758925420243381,57,0.8120805369127517,0.009957358629992783,28,0.9093959731543624,,,0.09731543624161065,A_MAIN,"base strong, recent confirms",41,0.019910644910644912,31,31,0.019910644910644912,-0.12125984251968502,-0.12792243946238743,,
turnover_aware,688047,2026-06-29,2026-06-29,0.012590634914722548,26,0.9161073825503355,0.0010469958100869738,62,0.7953020134228188,,,-0.12080536912751672,A_MAIN,"base strong, recent confirms",22,0.019824628288219598,32,32,0.019824628288219598,-0.12051464408094648,-0.12717724102364888,,
turnover_aware,601689,2026-06-29,2026-06-29,0.004167044107563169,100,0.6677852348993288,0.01487650884356257,14,0.9563758389261745,,,0.28859060402684567,B_SHORT_BOOST,recent model strongly boosts an acceptable base name,48,0.019763513513513513,33,33,0.019763513513513513,0.10652250974831623,0.09985991280561382,,
turnover_aware,002475,2026-06-29,2026-06-29,0.00964605612488625,39,0.87248322147651,0.004266318178739429,44,0.8557046979865772,,,-0.016778523489932806,A_MAIN,"base strong, recent confirms",31,0.01971639471639472,34,34,0.01971639471639472,-0.08465909090909096,-0.09132168785179337,,
turnover_aware,002074,2026-06-29,2026-06-29,0.0168344631127649,15,0.9530201342281879,-0.0017103147216011414,101,0.6644295302013423,,,-0.28859060402684555,A_MAIN,"base strong, recent confirms",13,0.019544513457556936,35,35,0.019544513457556936,-0.016721192293711384,-0.023383789236413797,,
turnover_aware,300394,2026-06-29,2026-06-29,0.009550878332499773,41,0.8657718120805369,0.003785478802368749,46,0.8489932885906041,,,-0.016778523489932806,A_MAIN,"base strong, recent confirms",33,0.019334952363160844,36,36,0.019334952363160844,-0.17371481432536018,-0.1803774112680626,,
turnover_aware,000408,2026-06-29,2026-06-29,0.007122243203279872,61,0.7986577181208053,0.009038438696166986,32,0.8959731543624161,,,0.09731543624161076,B_SHORT_BOOST,recent model strongly boosts an acceptable base name,52,0.01913402802730866,37,37,0.01913402802730866,0.058136180034622065,0.05147358309191965,,
turnover_aware,603799,2026-06-29,2026-06-29,0.014021305118026663,22,0.9295302013422819,-0.0010870839303815853,87,0.7114093959731543,,,-0.2181208053691276,A_MAIN,"base strong, recent confirms",19,0.018997843039654887,38,38,0.018997843039654887,-0.031081641110650593,-0.03774423805335301,,
turnover_aware,000776,2026-06-29,2026-06-29,0.004573565517065647,93,0.6912751677852349,0.012118021801866457,22,0.9295302013422819,,,0.23825503355704702,B_SHORT_BOOST,recent model strongly boosts an acceptable base name,50,0.018731069663637814,39,39,0.018731069663637814,0.013675213675213627,0.007012616732511213,,
turnover_aware,603993,2026-06-29,2026-06-29,0.009192815260515191,43,0.8590604026845637,0.003281775072806996,51,0.8322147651006712,,,-0.02684563758389258,A_MAIN,"base strong, recent confirms",34,0.01871774687308668,40,40,0.01871774687308668,0.05527065527065522,0.048608058327952806,,
turnover_aware,600522,2026-06-29,2026-06-29,0.012268438396100088,29,0.9060402684563759,-0.0001122934414007268,74,0.7550335570469798,,,-0.15100671140939603,A_MAIN,"base strong, recent confirms",25,0.018698641623343955,41,41,0.018698641623343955,-0.1723796967699407,-0.1790422937126431,,
turnover_aware,002049,2026-06-29,2026-06-29,0.006771219835015684,66,0.7818791946308725,0.006464448414596386,38,0.8758389261744967,,,0.09395973154362414,B_SHORT_BOOST,recent model strongly boosts an acceptable base name,56,0.018140589569160995,42,42,0.018140589569160995,-0.07876056338028159,-0.085423160322984,,
