symbol,date,trade_date,recent_score,recent_rank,recent_pct
300394,2026-07-06,2026-07-06,0.0026293856427116857,45,0.8528428093645485
601688,2026-07-06,2026-07-06,0.002467859063118398,46,0.8494983277591973
300059,2026-07-06,2026-07-06,0.0024494540779456666,47,0.8461538461538461
688008,2026-07-06,2026-07-06,0.0024457221812078677,48,0.842809364548495
600030,2026-07-06,2026-07-06,0.0024030291951324225,49,0.8394648829431438
601336,2026-07-06,2026-07-06,0.0022458456221531465,50,0.8361204013377926
600438,2026-07-06,2026-07-06,0.00199273804553069,51,0.8327759197324415
688303,2026-07-06,2026-07-06,0.0018926106266516955,52,0.8294314381270903
603986,2026-07-06,2026-07-06,0.0017430816071589703,53,0.8260869565217391
002714,2026-07-06,2026-07-06,0.0017339387497843778,54,0.822742474916388
603501,2026-07-06,2026-07-06,0.0017160802640309883,55,0.8193979933110368
300433,2026-07-06,2026-07-06,0.0016932497824859879,56,0.8160535117056856
002532,2026-07-06,2026-07-06,0.001508060668089471,57,0.8127090301003345
688082,2026-07-06,2026-07-06,0.0014119255050726429,58,0.8093645484949833
605499,2026-07-06,2026-07-06,0.0012562797970528238,59,0.8060200668896321
601872,2026-07-06,2026-07-06,0.0012497308144383964,60,0.802675585284281
300418,2026-07-06,2026-07-06,0.001112515458573934,61,0.7993311036789298
601319,2026-07-06,2026-07-06,0.0010473974630698176,62,0.7959866220735786
600018,2026-07-06,2026-07-06,0.0009274891122784923,63,0.7926421404682275
000630,2026-07-06,2026-07-06,0.0009011373338426844,64,0.7892976588628763
601881,2026-07-06,2026-07-06,0.0008997532548760167,65,0.7859531772575251
601225,2026-07-06,2026-07-06,0.0008498782335446596,66,0.782608695652174
601788,2026-07-06,2026-07-06,0.0006316885417740126,67,0.7792642140468228
688041,2026-07-06,2026-07-06,0.000623855282806077,68,0.7759197324414716
600660,2026-07-06,2026-07-06,0.000553894942707921,69,0.7725752508361204
600875,2026-07-06,2026-07-06,0.0004200162005206193,70,0.7692307692307693
600309,2026-07-06,2026-07-06,0.00036254535036834564,71,0.7658862876254181
301269,2026-07-06,2026-07-06,0.0003370652086470035,72,0.7625418060200669
600460,2026-07-06,2026-07-06,0.00032285208760632155,73,0.7591973244147158
000963,2026-07-06,2026-07-06,0.0003186077245865364,74,0.7558528428093646
300498,2026-07-06,2026-07-06,0.0002716101036603443,75,0.7525083612040134
601211,2026-07-06,2026-07-06,0.00026957345494508383,76,0.7491638795986622
000651,2026-07-06,2026-07-06,0.0001869493812367306,77,0.745819397993311
002074,2026-07-06,2026-07-06,0.000145972397878414,78,0.7424749163879598
002558,2026-07-06,2026-07-06,4.0605120919097775e-05,79,0.7391304347826086
002736,2026-07-06,2026-07-06,-2.233389560476794e-05,80,0.7357859531772575
002001,2026-07-06,2026-07-06,-6.311271799636885e-05,81,0.7324414715719063
000807,2026-07-06,2026-07-06,-0.0002715367153123554,82,0.7290969899665551
002202,2026-07-06,2026-07-06,-0.0002939981755463556,83,0.725752508361204
601689,2026-07-06,2026-07-06,-0.00032193708841224053,84,0.7224080267558528
002493,2026-07-06,2026-07-06,-0.0003420062038670402,85,0.7190635451505016
601995,2026-07-06,2026-07-06,-0.0003504309823415212,86,0.7157190635451505
002602,2026-07-06,2026-07-06,-0.0004461698303142517,87,0.7123745819397993
000408,2026-07-06,2026-07-06,-0.000508332436348715,88,0.7090301003344481
600150,2026-07-06,2026-07-06,-0.0005980575637419699,89,0.705685618729097
688036,2026-07-06,2026-07-06,-0.0006097928112661434,90,0.7023411371237458
002371,2026-07-06,2026-07-06,-0.0006235976193630009,91,0.6989966555183946
601825,2026-07-06,2026-07-06,-0.0006660436376975437,92,0.6956521739130435
000425,2026-07-06,2026-07-06,-0.000713281161160506,93,0.6923076923076923
600886,2026-07-06,2026-07-06,-0.0007290089421278963,94,0.6889632107023411
601901,2026-07-06,2026-07-06,-0.0007355816391682411,95,0.68561872909699
002241,2026-07-06,2026-07-06,-0.0007447124478043241,96,0.6822742474916388
002415,2026-07-06,2026-07-06,-0.0008571196466074132,97,0.6789297658862876
601377,2026-07-06,2026-07-06,-0.0008636629271432271,98,0.6755852842809364
603369,2026-07-06,2026-07-06,-0.0008645097355045564,99,0.6722408026755853
601169,2026-07-06,2026-07-06,-0.0009086393334480455,100,0.6688963210702341
601088,2026-07-06,2026-07-06,-0.000932420034886671,101,0.6655518394648829
600029,2026-07-06,2026-07-06,-0.0009557362176796848,102,0.6622073578595318
603019,2026-07-06,2026-07-06,-0.0009635202223132976,103,0.6588628762541806
000333,2026-07-06,2026-07-06,-0.001023802162180005,104,0.6555183946488294
000166,2026-07-06,2026-07-06,-0.0010334139221499525,105,0.6521739130434783
001391,2026-07-06,2026-07-06,-0.0010523087538952844,106,0.6488294314381271
600115,2026-07-06,2026-07-06,-0.0010965340888267172,107,0.6454849498327759
600028,2026-07-06,2026-07-06,-0.0012595177725219938,108,0.6421404682274248
000858,2026-07-06,2026-07-06,-0.0012617031160548373,109,0.6387959866220736
603260,2026-07-06,2026-07-06,-0.0013170886544467354,110,0.6354515050167224
600183,2026-07-06,2026-07-06,-0.0013181364055281821,111,0.6321070234113713
600919,2026-07-06,2026-07-06,-0.0013405491150758103,112,0.6287625418060201
601018,2026-07-06,2026-07-06,-0.0013932799006210641,113,0.6254180602006689
600066,2026-07-06,2026-07-06,-0.0014227823247239273,114,0.6220735785953178
600346,2026-07-06,2026-07-06,-0.0014247118482780825,115,0.6187290969899666
600887,2026-07-06,2026-07-06,-0.001428803965498891,116,0.6153846153846154
000301,2026-07-06,2026-07-06,-0.0014858864348053368,117,0.6120401337792643
601916,2026-07-06,2026-07-06,-0.0015110009121510116,118,0.6086956521739131
