as_of_date,rank,symbol,stock_name,industry_name,model_score,entry_close,latest_date,latest_close,return_current,benchmark_latest,benchmark_return_current,excess_return_current,hit_vs_benchmark_current
2026-06-18,146,601688,601688,证券公司,-0.001566,19.550000,2026-06-26,20.410000,0.043990,4868.220000,-0.093711,0.137701,True
2026-06-18,147,000063,中兴通讯,通信设备,-0.001573,37.890000,2026-06-26,35.670000,-0.058591,4868.220000,-0.093711,0.035121,True
2026-06-18,148,600309,万华化学,化学制品,-0.001595,69.050000,2026-06-26,71.790000,0.039681,4868.220000,-0.093711,0.133393,True
2026-06-18,149,688072,拓荆科技,半导体材料与设备,-0.001649,734.000000,2026-06-26,832.000000,0.133515,4868.220000,-0.093711,0.227226,True
2026-06-18,150,601788,601788,证券公司,-0.001671,14.190000,2026-06-26,14.510000,0.022551,4868.220000,-0.093711,0.116263,True
2026-06-18,151,002594,比亚迪,乘用车,-0.001675,88.130000,,,,4868.220000,-0.093711,,False
2026-06-18,152,601336,601336,保险,-0.001680,57.550000,2026-06-26,59.600000,0.035621,4868.220000,-0.093711,0.129333,True
2026-06-18,153,002050,三花智控,家用电器,-0.001699,45.740000,2026-06-26,41.500000,-0.092698,4868.220000,-0.093711,0.001014,True
2026-06-18,154,601288,601288,商业银行,-0.001737,6.370000,2026-06-26,6.190000,-0.028257,4868.220000,-0.093711,0.065454,True
2026-06-18,155,601628,601628,保险,-0.001830,33.700000,2026-06-26,35.040000,0.039763,4868.220000,-0.093711,0.133474,True
2026-06-18,156,601066,601066,证券公司,-0.001852,24.900000,2026-06-26,30.250000,0.214859,4868.220000,-0.093711,0.308571,True
2026-06-18,157,000630,铜陵有色,工业金属,-0.001901,7.650000,2026-06-26,6.220000,-0.186928,4868.220000,-0.093711,-0.093217,False
2026-06-18,158,002304,洋河股份,酒,-0.001902,41.030000,2026-06-26,39.220000,-0.044114,4868.220000,-0.093711,0.049597,True
2026-06-18,159,002837,英维克,专用机械,-0.001917,74.370000,2026-06-26,82.570000,0.110260,4868.220000,-0.093711,0.203971,True
2026-06-18,160,302132,中航成飞,航空航天,-0.001995,59.330000,2026-06-26,57.080000,-0.037923,4868.220000,-0.093711,0.055788,True
2026-06-18,161,600030,中信证券,证券公司,-0.002054,26.560000,2026-06-26,27.740000,0.044428,4868.220000,-0.093711,0.138139,True
2026-06-18,162,600489,600489,贵金属,-0.002101,21.920000,2026-06-26,18.300000,-0.165146,4868.220000,-0.093711,-0.071435,False
