as_of_date,rank,symbol,stock_name,industry_name,model_score,entry_close,benchmark_close,exit_date_d5,exit_close_d5,return_d5,benchmark_return_d5,excess_return_d5,predicted_rank,realized_rank_by_excess_d5,rank_diff_d5,hit_vs_benchmark_d5
2026-06-18,57,002241,歌尔股份,电子终端及组件,0.003460,23.920000,5371.600324,2026-06-26,22.330000,-0.066472,-0.093711,0.027240,57,193.000000,136.000000,True
2026-06-18,58,601360,601360,软件开发,0.003347,9.370000,5371.600324,2026-06-26,8.480000,-0.094984,-0.093711,-0.001273,58,239.000000,181.000000,False
2026-06-18,59,000596,古井贡酒,酒,0.003023,81.710000,5371.600324,2026-06-26,78.970000,-0.033533,-0.093711,0.060178,59,133.000000,74.000000,True
2026-06-18,60,002625,光启技术,国防装备,0.002960,34.150000,5371.600324,2026-06-26,30.000000,-0.121523,-0.093711,-0.027811,60,252.000000,192.000000,False
2026-06-18,61,601136,601136,证券Ⅲ,0.002913,13.980000,5371.600324,2026-06-26,13.950000,-0.002146,-0.093711,0.091566,61,79.000000,18.000000,True
2026-06-18,62,600989,600989,化学原料,0.002803,21.510000,5371.600324,2026-06-26,20.740000,-0.035797,-0.093711,0.057914,62,138.000000,76.000000,True
2026-06-18,63,002648,卫星化学,化学原料,0.002784,21.650000,5371.600324,2026-06-26,,,-0.093711,,63,,,False
2026-06-18,64,002422,科伦药业,化学药,0.002731,35.920000,5371.600324,2026-06-26,35.600000,-0.008909,-0.093711,0.084803,64,84.000000,20.000000,True
2026-06-18,65,601012,601012,发电设备,0.002499,12.840000,5371.600324,2026-06-26,12.670000,-0.013240,-0.093711,0.080472,65,92.000000,27.000000,True
2026-06-18,66,600104,上汽集团,乘用车,0.002319,10.460000,5371.600324,2026-06-26,9.730000,-0.069790,-0.093711,0.023922,66,200.000000,134.000000,True
2026-06-18,67,000858,五 粮 液,酒,0.002277,75.850000,5371.600324,2026-06-26,73.170000,-0.035333,-0.093711,0.058379,67,136.000000,69.000000,True
2026-06-18,68,600741,600741,汽车零部件与轮胎,0.002261,16.270000,5371.600324,2026-06-26,15.870000,-0.024585,-0.093711,0.069126,68,109.000000,41.000000,True
2026-06-18,69,600085,同仁堂,中药,0.002183,23.500000,5371.600324,2026-06-26,22.390000,-0.047234,-0.093711,0.046477,69,169.000000,100.000000,True
2026-06-18,70,300498,温氏股份,养殖,0.002062,12.360000,5371.600324,2026-06-26,12.160000,-0.016181,-0.093711,0.077530,70,96.000000,26.000000,True
2026-06-18,71,300896,爱美客,医疗器械,0.002019,91.360000,5371.600324,2026-06-26,85.500000,-0.064142,-0.093711,0.029570,71,189.000000,118.000000,True
2026-06-18,72,002230,科大讯飞,软件开发,0.001904,42.610000,5371.600324,2026-06-26,39.120000,-0.081906,-0.093711,0.011806,72,223.000000,151.000000,True
2026-06-18,73,601877,正泰电器,电网设备,0.001853,27.040000,5371.600324,2026-06-26,24.840000,-0.081361,-0.093711,0.012350,73,222.000000,149.000000,True
2026-06-18,74,000963,华东医药,化学药,0.001724,28.340000,5371.600324,2026-06-26,26.410000,-0.068102,-0.093711,0.025610,74,197.000000,123.000000,True
2026-06-18,75,002028,思源电气,电网设备,0.001682,190.200000,5371.600324,2026-06-26,175.120000,-0.079285,-0.093711,0.014426,75,216.000000,141.000000,True
2026-06-18,76,300251,光线传媒,文化娱乐,0.001442,11.320000,5371.600324,2026-06-26,10.850000,-0.041519,-0.093711,0.052192,76,154.000000,78.000000,True
2026-06-18,77,688036,传音控股,电子终端及组件,0.001419,53.510000,5371.600324,2026-06-26,56.810000,0.061671,-0.093711,0.155382,77,27.000000,-50.000000,True
2026-06-18,78,002460,赣锋锂业,稀有金属,0.001398,69.360000,5371.600324,2026-06-26,63.380000,-0.086217,-0.093711,0.007495,78,230.000000,152.000000,True
2026-06-18,79,600089,特变电工,电网设备,0.001347,23.320000,5371.600324,2026-06-26,22.450000,-0.037307,-0.093711,0.056404,79,142.000000,63.000000,True
2026-06-18,80,603369,今世缘,酒,0.001314,24.240000,5371.600324,2026-06-26,23.960000,-0.011551,-0.093711,0.082160,80,89.000000,9.000000,True
2026-06-18,81,600372,600372,航空航天,0.001299,10.980000,5371.600324,2026-06-26,10.720000,-0.023679,-0.093711,0.070032,81,108.000000,27.000000,True
2026-06-18,82,601059,601059,证券,0.001287,15.380000,5371.600324,2026-06-26,15.920000,0.035111,-0.093711,0.128822,82,42.000000,-40.000000,True
2026-06-18,83,600436,600436,中药,0.001281,112.890000,5371.600324,2026-06-26,108.000000,-0.043317,-0.093711,0.050395,83,159.000000,76.000000,True
2026-06-18,84,002466,天齐锂业,稀有金属,0.001199,62.180000,5371.600324,2026-06-26,58.920000,-0.052428,-0.093711,0.041283,84,176.000000,92.000000,True
2026-06-18,85,000999,华润三九,中药,0.001150,23.480000,5371.600324,2026-06-26,22.160000,-0.056218,-0.093711,0.037493,85,184.000000,99.000000,True
2026-06-18,86,300413,芒果超媒,数字媒体,0.001094,15.540000,5371.600324,2026-06-26,14.350000,-0.076577,-0.093711,0.017135,86,212.000000,126.000000,True
2026-06-18,87,002371,北方华创,半导体材料与设备,0.001032,721.040000,5371.600324,2026-06-26,813.370000,0.128051,-0.093711,0.221763,87,15.000000,-72.000000,True
2026-06-18,88,601872,招商轮船,运输业,0.001027,17.140000,5371.600324,2026-06-26,19.560000,0.141190,-0.093711,0.234902,88,13.000000,-75.000000,True
2026-06-18,89,000625,长安汽车,乘用车,0.000943,7.450000,5371.600324,2026-06-26,6.860000,-0.079195,-0.093711,0.014517,89,215.000000,126.000000,True
2026-06-18,90,002714,牧原股份,养殖,0.000809,33.630000,5371.600324,2026-06-26,33.560000,-0.002081,-0.093711,0.091630,90,78.000000,-12.000000,True
2026-06-18,91,300274,阳光电源,发电设备,0.000797,146.980000,5371.600324,2026-06-26,151.050000,0.027691,-0.093711,0.121402,91,50.000000,-41.000000,True
2026-06-18,92,002709,天赐材料,电气部件与设备,0.000794,51.610000,5371.600324,2026-06-26,,,-0.093711,,92,,,False
2026-06-18,93,300832,新产业,医疗器械,0.000776,42.000000,5371.600324,2026-06-26,42.390000,0.009286,-0.093711,0.102997,93,65.000000,-28.000000,True
2026-06-18,94,603893,瑞芯微,集成电路,0.000733,180.660000,5371.600324,2026-06-26,182.000000,0.007417,-0.093711,0.101129,94,67.000000,-27.000000,True
2026-06-18,95,000938,紫光股份,信息技术服务,0.000723,27.450000,5371.600324,2026-06-26,,,-0.093711,,95,,,False
2026-06-18,96,000768,中航西飞,航空航天,0.000638,20.590000,5371.600324,2026-06-26,19.910000,-0.033026,-0.093711,0.060686,96,131.000000,35.000000,True
2026-06-18,97,601021,601021,运输业,0.000601,45.760000,5371.600324,2026-06-26,,,-0.093711,,97,,,False
2026-06-18,98,300450,先导智能,专用机械,0.000600,46.730000,5371.600324,2026-06-26,40.830000,-0.126257,-0.093711,-0.032546,98,253.000000,155.000000,False
2026-06-18,99,002049,紫光国微,集成电路,0.000477,80.390000,5371.600324,2026-06-26,83.980000,0.044657,-0.093711,0.138369,99,34.000000,-65.000000,True
2026-06-18,100,301236,软通动力,信息技术服务,0.000471,38.560000,5371.600324,2026-06-26,,,-0.093711,,100,,,False
2026-06-18,101,002493,荣盛石化,化学原料,0.000415,11.210000,5371.600324,2026-06-26,11.380000,0.015165,-0.093711,0.108876,101,58.000000,-43.000000,True
2026-06-18,102,601689,601689,汽车零部件与轮胎,0.000382,62.300000,5371.600324,2026-06-26,52.750000,-0.153291,-0.093711,-0.059579,102,259.000000,157.000000,False
2026-06-18,103,601456,601456,证券公司,0.000306,9.170000,5371.600324,2026-06-26,8.900000,-0.029444,-0.093711,0.064268,103,121.000000,18.000000,True
2026-06-18,104,000617,中油资本,其他金融服务,0.000252,7.170000,5371.600324,2026-06-26,6.640000,-0.073919,-0.093711,0.019792,104,208.000000,104.000000,True
2026-06-18,105,000568,泸州老窖,酒,0.000238,80.930000,5371.600324,2026-06-26,75.200000,-0.070802,-0.093711,0.022909,105,202.000000,97.000000,True
2026-06-18,106,600519,600519,酒,0.000212,1215.000000,5371.600324,2026-06-26,1168.630000,-0.038165,-0.093711,0.055547,106,146.000000,40.000000,True
2026-06-18,107,600061,国投资本,证券公司,0.000181,6.360000,5371.600324,2026-06-26,6.510000,0.023585,-0.093711,0.117296,107,51.000000,-56.000000,True
2026-06-18,108,000002,万  科Ａ,房地产开发与园区,0.000164,3.060000,5371.600324,2026-06-26,,,-0.093711,,108,,,False
2026-06-18,109,601211,601211,证券公司,0.000089,17.280000,5371.600324,2026-06-26,,,-0.093711,,109,,,False
2026-06-18,110,600196,复星医药,化学药,-0.000036,21.790000,5371.600324,2026-06-26,21.210000,-0.026618,-0.093711,0.067094,110,112.000000,2.000000,True
2026-06-18,111,601607,601607,食品与主要用品零售,-0.000069,15.910000,5371.600324,2026-06-26,15.290000,-0.038969,-0.093711,0.054742,111,147.000000,36.000000,True
2026-06-18,112,000977,浪潮信息,电子终端及组件,-0.000115,65.660000,5371.600324,2026-06-26,63.890000,-0.026957,-0.093711,0.066754,112,114.000000,2.000000,True
2026-06-18,113,600809,600809,酒,-0.000122,113.280000,5371.600324,2026-06-26,108.100000,-0.045727,-0.093711,0.047984,113,167.000000,54.000000,True
2026-06-18,114,600918,600918,证券公司,-0.000138,5.130000,5371.600324,2026-06-26,5.290000,0.031189,-0.093711,0.124901,114,47.000000,-67.000000,True
2026-06-18,115,600009,上海机场,交通基本设施,-0.000193,23.160000,5371.600324,2026-06-26,23.200000,0.001727,-0.093711,0.095439,115,72.000000,-43.000000,True
2026-06-18,116,601727,601727,发电设备,-0.000257,7.310000,5371.600324,2026-06-26,6.840000,-0.064295,-0.093711,0.029416,116,190.000000,74.000000,True
2026-06-18,117,300628,亿联网络,通信设备,-0.000315,33.200000,5371.600324,2026-06-26,33.280000,0.002410,-0.093711,0.096121,117,71.000000,-46.000000,True
2026-06-18,118,601857,601857,石油与天然气,-0.000344,9.580000,5371.600324,2026-06-26,,,-0.093711,,118,,,False
2026-06-18,119,600938,600938,石油与天然气,-0.000353,30.700000,5371.600324,2026-06-26,27.370000,-0.108469,-0.093711,-0.014758,119,249.000000,130.000000,False
2026-06-18,120,300015,爱尔眼科,医疗商业与服务,-0.000424,8.270000,5371.600324,2026-06-26,8.000000,-0.032648,-0.093711,0.061063,120,129.000000,9.000000,True
2026-06-18,121,600036,招商银行,商业银行,-0.000488,37.260000,5371.600324,2026-06-26,36.000000,-0.033816,-0.093711,0.059895,121,134.000000,13.000000,True
2026-06-18,122,600999,600999,证券公司,-0.000491,18.580000,5371.600324,2026-06-26,20.480000,0.102260,-0.093711,0.195972,122,19.000000,-103.000000,True
2026-06-18,123,601058,601058,汽车零部件与轮胎,-0.000610,11.500000,5371.600324,2026-06-26,11.730000,0.020000,-0.093711,0.113711,123,55.000000,-68.000000,True
2026-06-18,124,002353,杰瑞股份,油气开采与油田服务,-0.000612,164.220000,5371.600324,2026-06-26,,,-0.093711,,124,,,False
2026-06-18,125,601878,浙商证券,证券公司,-0.000642,9.110000,5371.600324,2026-06-26,9.510000,0.043908,-0.093711,0.137619,125,37.000000,-88.000000,True
2026-06-18,126,002179,中航光电,航空航天,-0.000682,40.780000,5371.600324,2026-06-26,42.690000,0.046837,-0.093711,0.140548,126,33.000000,-93.000000,True
2026-06-18,127,601377,601377,证券公司,-0.000777,5.820000,5371.600324,2026-06-26,6.000000,0.030928,-0.093711,0.124639,127,48.000000,-79.000000,True
2026-06-18,128,002236,大华股份,电子终端及组件,-0.000783,16.270000,5371.600324,2026-06-26,15.980000,-0.017824,-0.093711,0.075887,128,101.000000,-27.000000,True
2026-06-18,129,600027,华电国际,电力及电网,-0.000854,4.770000,5371.600324,2026-06-26,4.460000,-0.064990,-0.093711,0.028722,129,191.000000,62.000000,True
2026-06-18,130,001391,国货航,跨境物流,-0.000898,4.390000,5371.600324,2026-06-26,4.150000,-0.054670,-0.093711,0.039042,130,182.000000,52.000000,True
