symbol,date,close
601916,2026-07-03,2.72
000999,2026-06-29,23.25
000999,2026-06-30,22.49
000999,2026-07-01,23.23
000999,2026-07-02,23.9
000999,2026-07-03,24.03
002466,2026-06-29,59.87
002466,2026-06-30,61.32
002466,2026-07-01,62.29
002466,2026-07-02,60.01
002466,2026-07-03,58.66
688047,2026-06-29,146.9
688047,2026-06-30,154.67
688047,2026-07-01,152.2
688047,2026-07-02,144.49
688047,2026-07-03,136.03
601877,2026-06-29,25.2
601877,2026-06-30,25.07
601877,2026-07-01,24.82
601877,2026-07-02,24.72
601877,2026-07-03,25.18
601800,2026-06-29,5.83
601800,2026-06-30,5.71
601800,2026-07-01,5.84
601800,2026-07-02,5.87
601800,2026-07-03,5.93
601899,2026-06-29,25.79
601899,2026-06-30,25.14
601899,2026-07-01,25.11
601899,2026-07-02,26.3
601899,2026-07-03,27.82
300014,2026-06-29,64.6
300014,2026-06-30,65.03
300014,2026-07-01,63.25
300014,2026-07-02,61.27
300014,2026-07-03,61.16
605499,2026-06-29,121.99
605499,2026-06-30,123.43
605499,2026-07-01,128.53
605499,2026-07-02,124.08
605499,2026-07-03,126.35
601211,2026-06-29,18.13
601211,2026-06-30,18.2
601211,2026-07-01,19.12
601211,2026-07-02,19.17
601211,2026-07-03,19.37
000625,2026-06-29,7.23
000625,2026-06-30,7.17
000625,2026-07-01,7.19
000625,2026-07-02,7.14
000625,2026-07-03,7.24
600938,2026-06-29,27.34
600938,2026-06-30,27.15
600938,2026-07-01,27.02
600938,2026-07-02,26.75
600938,2026-07-03,27.69
605117,2026-06-29,104.27
605117,2026-06-30,106.18
605117,2026-07-01,101.5
605117,2026-07-02,94.66
605117,2026-07-03,96.44
601169,2026-06-29,4.97
601169,2026-06-30,4.9
601169,2026-07-01,4.94
601169,2026-07-02,5.02
601169,2026-07-03,5.03
600989,2026-06-29,20.82
600989,2026-06-30,20.33
600989,2026-07-01,20.75
600989,2026-07-02,20.54
600989,2026-07-03,20.54
601668,2026-06-29,4.4
601668,2026-06-30,4.34
601668,2026-07-01,4.41
601668,2026-07-02,4.44
601668,2026-07-03,4.48
300442,2026-06-29,76.2
300442,2026-06-30,83.07
300442,2026-07-01,90.06
300442,2026-07-02,87.8
300442,2026-07-03,85.44
600028,2026-06-29,4.61
600028,2026-06-30,4.46
600028,2026-07-01,4.54
600028,2026-07-02,4.6
600028,2026-07-03,4.7
601166,2026-06-29,16.88
601166,2026-06-30,16.56
601166,2026-07-01,16.7
601166,2026-07-02,17.06
601166,2026-07-03,17.01
601995,2026-06-29,36.2
601995,2026-06-30,36.15
601995,2026-07-01,37.51
601995,2026-07-02,36.23
601995,2026-07-03,36.38
601601,2026-06-29,29.35
601601,2026-06-30,28.52
601601,2026-07-01,29.99
601601,2026-07-02,29.63
601601,2026-07-03,29.65
601618,2026-06-29,2.47
601618,2026-06-30,2.44
601618,2026-07-01,2.47
601618,2026-07-02,2.49
601618,2026-07-03,2.54
000792,2026-06-29,29.63
000792,2026-06-30,30.19
000792,2026-07-01,30.49
000792,2026-07-02,30.18
000792,2026-07-03,29.41
603392,2026-06-29,27.28
603392,2026-06-30,26.97
603392,2026-07-01,28.31
603392,2026-07-02,28.14
603392,2026-07-03,28.62
600221,2026-06-29,1.38
600221,2026-06-30,1.35
600221,2026-07-01,1.38
600221,2026-07-02,1.37
600221,2026-07-03,1.37
600803,2026-06-29,16.02
600803,2026-06-30,15.8
600803,2026-07-01,16.26
600803,2026-07-02,16.06
600803,2026-07-03,16.5
600219,2026-06-29,4.12
600219,2026-06-30,3.99
600219,2026-07-01,4.03
600219,2026-07-02,4.07
600219,2026-07-03,4.17
300498,2026-06-29,12.57
300498,2026-06-30,12.32
300498,2026-07-01,13.13
300498,2026-07-02,13.18
300498,2026-07-03,13.06
002415,2026-06-29,32.99
002415,2026-06-30,34.2
002415,2026-07-01,34.03
002415,2026-07-02,33.61
002415,2026-07-03,34.0
600905,2026-06-29,3.73
600905,2026-06-30,3.71
600905,2026-07-01,3.76
600905,2026-07-02,3.76
600905,2026-07-03,3.77
002352,2026-06-29,31.33
002352,2026-06-30,31.26
002352,2026-07-01,32.2
002352,2026-07-02,32.42
002352,2026-07-03,32.47
601360,2026-06-29,8.46
601360,2026-06-30,8.69
601360,2026-07-01,8.83
601360,2026-07-02,8.7
601360,2026-07-03,8.71
300866,2026-06-29,109.02
300866,2026-06-30,104.5
300866,2026-07-01,107.73
300866,2026-07-02,100.41
300866,2026-07-03,107.84
600585,2026-06-29,16.59
600585,2026-06-30,16.35
600585,2026-07-01,16.64
600585,2026-07-02,16.85
600585,2026-07-03,17.14
000938,2026-06-29,26.24
000938,2026-06-30,28.86
000938,2026-07-01,29.93
000938,2026-07-02,29.03
000938,2026-07-03,30.28
600926,2026-06-29,14.94
600926,2026-06-30,14.45
600926,2026-07-01,14.66
600926,2026-07-02,14.89
600926,2026-07-03,15.0
600415,2026-06-29,9.98
600415,2026-06-30,10.16
600415,2026-07-01,10.39
600415,2026-07-02,10.38
600415,2026-07-03,10.62
002304,2026-06-29,38.59
002304,2026-06-30,38.15
002304,2026-07-01,38.61
002304,2026-07-02,38.41
002304,2026-07-03,38.68
600150,2026-06-29,33.59
600150,2026-06-30,33.79
600150,2026-07-01,35.19
600150,2026-07-02,34.36
600150,2026-07-03,37.15
