symbol,date,trade_date,base_score,base_rank,base_pct,recent_score,recent_rank,recent_pct,risk_flags,event_flags,short_boost,gate_tier,gate_reason,final_rank
002602,2026-07-03,2026-07-03,0.0012991674426844411,178,0.40604026845637586,-0.004935183944031292,231,0.22818791946308725,,,-0.1778523489932886,E_REJECT,base and recent are both weak,123
600905,2026-07-03,2026-07-03,0.0012831482473933808,179,0.40268456375838924,-0.005445509141349917,241,0.19463087248322147,,,-0.20805369127516776,E_REJECT,base and recent are both weak,124
601766,2026-07-03,2026-07-03,0.0012827339723223419,180,0.39932885906040266,-0.006622126951066574,270,0.09731543624161074,,,-0.30201342281879195,E_REJECT,base and recent are both weak,125
601728,2026-07-03,2026-07-03,0.0012092556870292692,181,0.3959731543624161,-0.006846904256211788,275,0.08053691275167785,,,-0.31543624161073824,E_REJECT,base and recent are both weak,126
601318,2026-07-03,2026-07-03,0.0011912434624753597,182,0.3926174496644295,-0.003909409879842651,199,0.33557046979865773,,,-0.057046979865771785,E_REJECT,base and recent are both weak,127
600015,2026-07-03,2026-07-03,0.0011858923790609912,183,0.38926174496644295,-0.0025465262534052724,163,0.4563758389261745,,,0.06711409395973156,E_REJECT,base and recent are both weak,128
600941,2026-07-03,2026-07-03,0.0011645122213282974,184,0.3859060402684564,-0.0073698146052107024,283,0.053691275167785234,,,-0.33221476510067116,E_REJECT,base and recent are both weak,129
603288,2026-07-03,2026-07-03,0.0011575233048424763,185,0.3825503355704698,-0.003578944658137072,187,0.37583892617449666,,,-0.006711409395973145,E_REJECT,base and recent are both weak,130
601059,2026-07-03,2026-07-03,0.001140947179124814,186,0.37919463087248323,-0.00564800744371789,250,0.1644295302013423,,,-0.21476510067114093,E_REJECT,base and recent are both weak,131
601816,2026-07-03,2026-07-03,0.0011114697823780455,187,0.37583892617449666,-0.0022190049379840053,147,0.5100671140939598,,,0.13422818791946312,E_REJECT,base and recent are both weak,132
601166,2026-07-03,2026-07-03,0.0010765178493355911,188,0.3724832214765101,-0.005871615062951012,255,0.1476510067114094,,,-0.22483221476510068,E_REJECT,base and recent are both weak,133
000538,2026-07-03,2026-07-03,0.0010663729981700112,189,0.3691275167785235,-0.006677571572732989,272,0.09060402684563758,,,-0.27852348993288595,E_REJECT,base and recent are both weak,134
600019,2026-07-03,2026-07-03,0.0010640844827736085,190,0.36577181208053694,-0.007364689655793497,282,0.05704697986577181,,,-0.3087248322147651,E_REJECT,base and recent are both weak,135
601998,2026-07-03,2026-07-03,0.0010393369058211328,192,0.35906040268456374,-0.004878424568773291,228,0.23825503355704697,,,-0.12080536912751677,E_REJECT,base and recent are both weak,136
600674,2026-07-03,2026-07-03,0.0010155656617819695,193,0.35570469798657717,-0.008393239604960552,288,0.03691275167785235,,,-0.3187919463087248,E_REJECT,base and recent are both weak,137
600050,2026-07-03,2026-07-03,0.0010034138071167674,194,0.3523489932885906,-0.005783341286566749,252,0.15771812080536912,,,-0.19463087248322147,E_REJECT,base and recent are both weak,138
600160,2026-07-03,2026-07-03,0.0010030967072967207,195,0.348993288590604,-0.004670761388841735,218,0.27181208053691275,,,-0.07718120805369127,E_REJECT,base and recent are both weak,139
601658,2026-07-03,2026-07-03,0.0009828126198975153,196,0.34563758389261745,-0.007140078581395428,279,0.06711409395973154,,,-0.2785234899328859,E_REJECT,base and recent are both weak,140
600018,2026-07-03,2026-07-03,0.0009804116767120423,197,0.3422818791946309,-0.0037316491227400933,195,0.348993288590604,,,0.006711409395973145,E_REJECT,base and recent are both weak,141
600025,2026-07-03,2026-07-03,0.000952412177920669,198,0.3389261744966443,-0.00844280927436756,289,0.03355704697986577,,,-0.3053691275167785,E_REJECT,base and recent are both weak,142
605117,2026-07-03,2026-07-03,0.0009230877142811356,200,0.33221476510067116,-0.0012417498745056197,125,0.5838926174496645,,,0.2516778523489933,E_REJECT,base and recent are both weak,143
688009,2026-07-03,2026-07-03,0.0009216983698718269,201,0.3288590604026846,-0.0023686444763256678,153,0.4899328859060403,,,0.1610738255033557,E_REJECT,base and recent are both weak,144
002230,2026-07-03,2026-07-03,0.0008500253787729901,204,0.3187919463087248,-0.00427263335999869,210,0.2986577181208054,,,-0.020134228187919434,E_REJECT,base and recent are both weak,145
601136,2026-07-03,2026-07-03,0.0008266831199847831,205,0.31543624161073824,-0.007171370475520287,280,0.06375838926174497,,,-0.25167785234899326,E_REJECT,base and recent are both weak,146
688111,2026-07-03,2026-07-03,0.0008088256315162875,207,0.3087248322147651,-0.0021271799541070415,144,0.5201342281879194,,,0.21140939597315433,E_REJECT,base and recent are both weak,147
601916,2026-07-03,2026-07-03,0.0007760221277300736,209,0.30201342281879195,-0.001264297792974331,126,0.5805369127516778,,,0.2785234899328859,E_REJECT,base and recent are both weak,148
601229,2026-07-03,2026-07-03,0.0007347026372340941,210,0.2986577181208054,-0.0024453844944633445,155,0.48322147651006714,,,0.18456375838926176,E_REJECT,base and recent are both weak,149
601319,2026-07-03,2026-07-03,0.0007302412451726618,211,0.2953020134228188,-0.002363460499176818,152,0.49328859060402686,,,0.19798657718120805,E_REJECT,base and recent are both weak,150
