arm,metric,mean,std,n,icir
rrf,top20_ret_fwd_3d_cs_gross,0.026688813468789336,0.03406317019019791,20,
base_only,top20_ret_fwd_3d_cs_net,0.021297630665408716,0.03295962226867344,20,
fixed_weight_0.3,top20_ret_fwd_3d_cs_net,0.02628682226604286,0.036000258404238886,20,
fixed_weight_0.5,top20_ret_fwd_3d_cs_net,0.025166881991049828,0.03599912159653737,20,
fixed_weight_0.7,top20_ret_fwd_3d_cs_net,0.026275207264668265,0.036207399272509246,20,
gate_first,top20_ret_fwd_3d_cs_net,0.022455618081255756,0.03629664197325306,20,
gate_first_noveto,top20_ret_fwd_3d_cs_net,0.022455618081255756,0.03629664197325306,20,
recent_heavy,top20_ret_fwd_3d_cs_net,0.02628682226604286,0.036000258404238886,20,
recent_only,top20_ret_fwd_3d_cs_net,0.028405343556802652,0.032544725641895,20,
rrf,top20_ret_fwd_3d_cs_net,0.025688813468789328,0.0340631701901979,20,
base_only,top20_ret_fwd_3d_gross,0.024009112440131652,0.04678647053987582,20,
fixed_weight_0.3,top20_ret_fwd_3d_gross,0.0289983040407658,0.04581294623499501,20,
fixed_weight_0.5,top20_ret_fwd_3d_gross,0.02787836376577276,0.04713728259753793,20,
fixed_weight_0.7,top20_ret_fwd_3d_gross,0.0289866890393912,0.04722878697579298,20,
gate_first,top20_ret_fwd_3d_gross,0.025167099855978693,0.048516694311628326,20,
gate_first_noveto,top20_ret_fwd_3d_gross,0.025167099855978693,0.048516694311628326,20,
recent_heavy,top20_ret_fwd_3d_gross,0.0289983040407658,0.04581294623499501,20,
recent_only,top20_ret_fwd_3d_gross,0.031116825331525582,0.04153075613852255,20,
rrf,top20_ret_fwd_3d_gross,0.02840029524351227,0.045123890216881776,20,
base_only,top20_ret_fwd_3d_net,0.02300911244013165,0.04678647053987582,20,
fixed_weight_0.3,top20_ret_fwd_3d_net,0.0279983040407658,0.04581294623499501,20,
fixed_weight_0.5,top20_ret_fwd_3d_net,0.02687836376577276,0.04713728259753793,20,
fixed_weight_0.7,top20_ret_fwd_3d_net,0.0279866890393912,0.047228786975792976,20,
gate_first,top20_ret_fwd_3d_net,0.02416709985597869,0.048516694311628326,20,
gate_first_noveto,top20_ret_fwd_3d_net,0.02416709985597869,0.048516694311628326,20,
recent_heavy,top20_ret_fwd_3d_net,0.0279983040407658,0.04581294623499501,20,
recent_only,top20_ret_fwd_3d_net,0.030116825331525588,0.04153075613852255,20,
rrf,top20_ret_fwd_3d_net,0.027400295243512268,0.045123890216881776,20,
base_only,top20_ret_fwd_5d_cs_gross,0.03457501228869921,0.05150980733380562,19,
fixed_weight_0.3,top20_ret_fwd_5d_cs_gross,0.041166928742799085,0.050544216392451144,19,
fixed_weight_0.5,top20_ret_fwd_5d_cs_gross,0.039325850239306924,0.04918366846092714,19,
fixed_weight_0.7,top20_ret_fwd_5d_cs_gross,0.03822516898585948,0.04842285244759439,19,
gate_first,top20_ret_fwd_5d_cs_gross,0.03428047475062337,0.050979714153084804,19,
gate_first_noveto,top20_ret_fwd_5d_cs_gross,0.03428047475062337,0.050979714153084804,19,
recent_heavy,top20_ret_fwd_5d_cs_gross,0.041166928742799085,0.050544216392451144,19,
recent_only,top20_ret_fwd_5d_cs_gross,0.0424170907762569,0.04356774972879795,19,
rrf,top20_ret_fwd_5d_cs_gross,0.039439846211068726,0.04762173061950125,19,
base_only,top20_ret_fwd_5d_cs_net,0.03357501228869921,0.05150980733380562,19,
fixed_weight_0.3,top20_ret_fwd_5d_cs_net,0.040166928742799084,0.050544216392451144,19,
fixed_weight_0.5,top20_ret_fwd_5d_cs_net,0.03832585023930692,0.04918366846092714,19,
fixed_weight_0.7,top20_ret_fwd_5d_cs_net,0.03722516898585949,0.04842285244759438,19,
gate_first,top20_ret_fwd_5d_cs_net,0.033280474750623366,0.050979714153084804,19,
gate_first_noveto,top20_ret_fwd_5d_cs_net,0.033280474750623366,0.050979714153084804,19,
recent_heavy,top20_ret_fwd_5d_cs_net,0.040166928742799084,0.050544216392451144,19,
recent_only,top20_ret_fwd_5d_cs_net,0.041417090776256896,0.04356774972879795,19,
rrf,top20_ret_fwd_5d_cs_net,0.038439846211068725,0.04762173061950125,19,
base_only,top20_ret_fwd_5d_gross,0.036315494368478675,0.06439591814343013,19,
fixed_weight_0.3,top20_ret_fwd_5d_gross,0.04290741082257855,0.05981901783562154,19,
fixed_weight_0.5,top20_ret_fwd_5d_gross,0.04106633231908638,0.05938156213834594,19,
fixed_weight_0.7,top20_ret_fwd_5d_gross,0.039965651065638944,0.05849425579156931,19,
gate_first,top20_ret_fwd_5d_gross,0.03602095683040282,0.06213781242524632,19,
gate_first_noveto,top20_ret_fwd_5d_gross,0.03602095683040282,0.06213781242524632,19,
recent_heavy,top20_ret_fwd_5d_gross,0.04290741082257855,0.05981901783562154,19,
recent_only,top20_ret_fwd_5d_gross,0.044157572856036345,0.05271264950836574,19,
rrf,top20_ret_fwd_5d_gross,0.04118032829084819,0.05927852703090262,19,
base_only,top20_ret_fwd_5d_net,0.035315494368478674,0.06439591814343013,19,
fixed_weight_0.3,top20_ret_fwd_5d_net,0.041907410822578546,0.05981901783562154,19,
fixed_weight_0.5,top20_ret_fwd_5d_net,0.040066332319086385,0.059381562138345945,19,
fixed_weight_0.7,top20_ret_fwd_5d_net,0.03896565106563894,0.05849425579156931,19,
gate_first,top20_ret_fwd_5d_net,0.03502095683040282,0.06213781242524632,19,
gate_first_noveto,top20_ret_fwd_5d_net,0.03502095683040282,0.06213781242524632,19,
recent_heavy,top20_ret_fwd_5d_net,0.041907410822578546,0.05981901783562154,19,
recent_only,top20_ret_fwd_5d_net,0.043157572856036344,0.05271264950836574,19,
rrf,top20_ret_fwd_5d_net,0.04018032829084819,0.05927852703090262,19,
base_only,top50_ret_fwd_3d_cs_gross,0.012903649990807528,0.02357900500511697,20,
fixed_weight_0.3,top50_ret_fwd_3d_cs_gross,0.014888048297519257,0.024057502587323237,20,
fixed_weight_0.5,top50_ret_fwd_3d_cs_gross,0.015256758102217804,0.024836129419109485,20,
fixed_weight_0.7,top50_ret_fwd_3d_cs_gross,0.014956399826815842,0.02566935579440689,20,
gate_first,top50_ret_fwd_3d_cs_gross,0.014863412766740034,0.02452086364118924,20,
gate_first_noveto,top50_ret_fwd_3d_cs_gross,0.014863412766740034,0.02452086364118924,20,
recent_heavy,top50_ret_fwd_3d_cs_gross,0.014888048297519257,0.024057502587323237,20,
recent_only,top50_ret_fwd_3d_cs_gross,0.014978412855297687,0.025468411110051773,20,
