date,arm,metric,value
2026-04-24,turnover_aware,top50_ret_fwd_5d_cs_gross,0.009956619603091075
2026-04-24,turnover_aware,top50_ret_fwd_5d_cs_net,0.008956619603091076
2026-04-24,turnover_aware,precision_at_20_excess,0.5
2026-04-24,turnover_aware,precision_at_50_excess,0.46
2026-04-29,baseline,rank_ic_ret_fwd_3d,0.08343891402714933
2026-04-29,baseline,top20_ret_fwd_3d_gross,0.029223233002497805
2026-04-29,baseline,top20_ret_fwd_3d_net,0.028223233002497804
2026-04-29,baseline,top50_ret_fwd_3d_gross,0.03730004723962184
2026-04-29,baseline,top50_ret_fwd_3d_net,0.03630004723962184
2026-04-29,baseline,top20_ret_fwd_3d_cs_gross,0.014101492006113114
2026-04-29,baseline,top20_ret_fwd_3d_cs_net,0.013101492006113113
2026-04-29,baseline,top50_ret_fwd_3d_cs_gross,0.02217830624323715
2026-04-29,baseline,top50_ret_fwd_3d_cs_net,0.02117830624323715
2026-04-29,baseline,top20_ret_fwd_5d_gross,0.07070113149873546
2026-04-29,baseline,top20_ret_fwd_5d_net,0.06970113149873546
2026-04-29,baseline,top50_ret_fwd_5d_gross,0.055075604516375366
2026-04-29,baseline,top50_ret_fwd_5d_net,0.054075604516375365
2026-04-29,baseline,top20_ret_fwd_5d_cs_gross,0.04833397973757169
2026-04-29,baseline,top20_ret_fwd_5d_cs_net,0.04733397973757169
2026-04-29,baseline,top50_ret_fwd_5d_cs_gross,0.0327084527552116
2026-04-29,baseline,top50_ret_fwd_5d_cs_net,0.0317084527552116
2026-04-29,baseline,precision_at_20_excess,0.45
2026-04-29,baseline,precision_at_50_excess,0.46
2026-04-29,turnover_aware,rank_ic_ret_fwd_3d,0.08343891402714933
2026-04-29,turnover_aware,top20_ret_fwd_3d_gross,0.049411936104584706
2026-04-29,turnover_aware,top20_ret_fwd_3d_net,0.048411936104584705
2026-04-29,turnover_aware,top50_ret_fwd_3d_gross,0.03730004723962185
2026-04-29,turnover_aware,top50_ret_fwd_3d_net,0.03630004723962185
2026-04-29,turnover_aware,top20_ret_fwd_3d_cs_gross,0.034290195108200014
